"strap_number","term","estimate","std_error","statistic","p_value"
2867,"prcp",-0.00359209044206229,0.00197722850228969,-1.81673005315397,0.0700853008643017
2868,"(Intercept)",8.16797402675801,0.210844286859616,38.7393661379897,7.90098888292734e-131
2868,"tmin",1.00307927755741,0.0150136927037282,66.8109636550859,1.09869202372272e-205
2868,"prcp",-0.00456522781608691,0.00185138687573198,-2.46584216185608,0.0141321004696013
2869,"(Intercept)",7.84710639968425,0.201137457839679,39.0136500876875,1.00515954854569e-131
2869,"tmin",1.0221178987419,0.0136318610743687,74.9800700847621,1.33779786110337e-222
2869,"prcp",-0.00348263073468429,0.00208299577833687,-1.67193365003598,0.0954014906281089
2870,"(Intercept)",7.79659157246031,0.231235688144948,33.7170773032798,9.9177445939219e-114
2870,"tmin",1.03085501074512,0.0164613335367198,62.6228129358793,2.56968939267161e-196
2870,"prcp",-0.00327851909235907,0.00209777185628675,-1.56285779244,0.118959797053987
2871,"(Intercept)",7.76824176393626,0.204252010795236,38.032632989469,1.6707333111329e-128
2871,"tmin",1.06138067811234,0.0142524749087464,74.4699208318545,1.36312026618217e-221
2871,"prcp",-0.0118200507552626,0.00231211234402456,-5.11223028838128,5.16838721493116e-07
2872,"(Intercept)",7.98672711311443,0.237485721243503,33.6303465795544,2.01195538298847e-113
2872,"tmin",0.997706701112487,0.016018105226059,62.2861872257758,1.53282334325474e-195
2872,"prcp",-0.000538605795884312,0.00220639262306309,-0.244111492331124,0.807282765287991
2873,"(Intercept)",7.95795930743574,0.227710913881045,34.9476411639758,4.8055587283572e-118
2873,"tmin",0.984043343234743,0.0162429477765144,60.5828053364529,1.45963399275727e-191
2873,"prcp",0.00452178442667432,0.00208516081032253,2.16855429292999,0.0307672507596826
2874,"(Intercept)",7.65643222028813,0.217440688534169,35.2115892931649,5.84744401597841e-119
2874,"tmin",1.04258213508763,0.0145619937079933,71.5961121803907,8.49710684786411e-216
2874,"prcp",-0.00831748888964902,0.00196330839917939,-4.23646580085204,2.88393614022787e-05
2875,"(Intercept)",8.43625570047059,0.248166480474274,33.9943399461037,1.04010983500504e-114
2875,"tmin",0.993379074491034,0.0175375509763372,56.6429757399631,5.36135529347674e-182
2875,"prcp",0.000490162254013914,0.00231247459870198,0.211964384079742,0.832254111845158
2876,"(Intercept)",7.8437617173273,0.231872002834542,33.8279810474765,4.01959194046927e-114
2876,"tmin",1.0315959123169,0.0162853173820223,63.3451524534428,5.71735023342107e-198
2876,"prcp",-0.00115788518665234,0.00245773971864096,-0.471117904744042,0.637840317040874
2877,"(Intercept)",7.89722630060206,0.206001044723013,38.3358555837451,1.66759350459953e-129
2877,"tmin",1.02132937757987,0.0148573904637272,68.7421778456543,7.71568239953246e-210
2877,"prcp",-0.00594384811475451,0.00185548932811706,-3.20338577252088,0.00147868167825676
2878,"(Intercept)",7.96241456310096,0.267746133313939,29.7386724676425,3.2305391474358e-99
2878,"tmin",0.99418436500953,0.0182046537772173,54.6115502758822,7.43306616554939e-177
2878,"prcp",0.0137930626285656,0.0022607414443394,6.10112344474493,2.70808847781739e-09
2879,"(Intercept)",7.90982184898715,0.217015126383227,36.4482512385758,3.3959026577257e-123
2879,"tmin",1.01733144671329,0.0150458527962256,67.6154060850903,1.98812426456564e-207
2879,"prcp",-0.0002018870145616,0.00180880378135893,-0.111613551808215,0.911191686154947
